time,eastward_wind_velocity,northward_wind_velocity
3693303989,-1.110000014,-5.570000172
3693304053,-0.100000001,-6.090000153
3693304117,-0.209999993,-5.670000076
3693304183,0.150000006,-5.849999905
3693304216,0.129999995,-4.739999771
3693304280,0.219999999,-5.380000114
3693304345,0.180000007,-6.079999924
3693304410,0.100000001,-6.559999943
3693304474,-0.810000002,-5.449999809
3693304538,-1.210000038,-5.510000229
3693304603,-1,-5.320000172
3693304637,-0.529999971,-5.039999962
3693304701,-1.470000029,-6.849999905
3693304765,-1.75,-4.989999771
3693304832,-2.650000095,-5.360000134
3693304897,-1.830000043,-5.409999847
3693304962,-1.960000038,-5.389999866
3693304996,-1.24000001,-5.199999809
3693305060,-1.25,-5.739999771
3693305125,-0.779999971,-6.119999886
3693305189,-1.169999957,-5.480000019
3693305253,-2.880000114,-4.449999809
3693305317,-1.480000019,-5.699999809
3693305382,-2.769999981,-4.539999962
3693305416,-1.460000038,-5.349999905
3693305481,-2.329999924,-4.900000095
3693305546,-0.180000007,-5.699999809
3693305610,-0.170000002,-5.230000019
3693305675,0.419999987,-5.340000153
3693305739,-1.75999999,-5.710000038
3693305803,-1.470000029,-5.25
3693305836,-2.579999924,-4.809999943
3693305901,-1.629999995,-5.309999943
3693305966,-0.699999988,-4.900000095
3693306030,-2.24000001,-5.670000076
3693306095,-1.470000029,-4.309999943
3693306160,-1.980000019,-4.630000114
3693306224,-3.069999933,-4.050000191
3693306257,-1.350000024,-4.96999979
3693306321,-2.50999999,-4.5
3693306385,-2.430000067,-5.289999962
3693306450,-1.120000005,-5.320000172
3693306514,-2.440000057,-3.789999962
3693306578,-2.420000076,-5.369999886
3693306643,-2.160000086,-5.420000076
3693306676,-1.129999995,-5.190000057
3693306741,-1.409999967,-4.889999866
3693306806,-0.910000026,-5.480000019
3693306870,-0.419999987,-5.510000229
3693306936,-1.720000029,-5.139999866
3693307002,-1.629999995,-4.260000229
3693307036,-1.24000001,-4.960000038
3693307100,-1.379999995,-4.809999943
3693307165,-1.320000052,-4.489999771
3693307229,-2.769999981,-5.110000134
3693307293,-0.860000014,-4.840000153
3693307358,-0.720000029,-4.849999905
3693307423,-0.289999992,-5.489999771
3693307457,-1.590000033,-5.090000153
3693307521,-0.170000002,-6.159999847
3693307585,0.01,-4.539999962
3693307650,-1.769999981,-4.929999828
3693307714,-0.629999995,-5
3693307778,-1.429999948,-5.949999809
3693307843,-2.25,-5.039999962
3693307876,-1.789999962,-5.53000021
3693307940,-1.529999971,-5.019999981
3693308005,-2.25999999,-4.340000153
3693308069,-1.559999943,-5.050000191
3693308134,-1.120000005,-6.320000172
3693308199,-2.180000067,-4.860000134
3693308263,-1.559999943,-4.190000057
3693308296,-2.460000038,-4.159999847
3693308360,-1.950000048,-4.860000134
3693308425,-2.710000038,-4.489999771
3693308489,-0.379999995,-5.260000229
3693308553,-1.99000001,-6.050000191
3693308618,0.639999986,-5.25
3693308683,-1.360000014,-5.610000134
3693308716,-1.600000024,-4.840000153
3693308781,-1.220000029,-5.320000172
3693308845,-0.699999988,-6.139999866
3693308909,-1.429999948,-5.739999771
3693308974,-0.419999987,-5.289999962
3693309038,-1.710000038,-4.989999771
3693309102,-1.470000029,-5.300000191
3693309136,-0.980000019,-5.090000153
3693309201,-2.380000114,-5.599999905
3693309265,-2.640000105,-5.010000229
3693309331,-2.339999914,-5.090000153
3693309396,-2.349999905,-5.570000172
3693309460,-2.359999895,-5.800000191
3693309525,-1.440000057,-6.010000229
3693309557,-1.409999967,-5.329999924
3693309622,-2.109999895,-5.119999886
3693309687,-2.339999914,-6.610000134
3693309751,-2.059999943,-5.679999828
3693309815,-1.129999995,-6.03000021
3693309880,-2.190000057,-6.199999809
3693309945,-2.00999999,-6.800000191
3693309978,-2.099999905,-5.679999828
3693310042,-1.710000038,-5.46999979
3693310108,-0.479999989,-5.75
3693310173,-1.370000005,-4.840000153
3693310237,-2.140000105,-6.03000021
3693310301,-2.299999952,-5.25
3693310336,-1.230000019,-6.130000114
3693310396,-2.730000019,-5.349999905
3693310461,-2.619999886,-5.130000114
3693310525,-2.460000038,-6.03000021
3693310590,-3.170000076,-4.929999828
3693310655,-2.420000076,-5.909999847
3693310719,-3.099999905,-4.960000038
3693310756,-1.980000019,-5.369999886
3693310816,-3.369999886,-4.730000019
3693310881,-3.019999981,-4.659999847
3693310945,-4.139999866,-4.329999924
3693311009,-2.539999962,-4.489999771
3693311074,-2.869999886,-4.980000019
3693311138,-2.99000001,-4.260000229
3693311202,-4.25,-5.119999886
3693311236,-3.220000029,-4.71999979
3693311301,-2.940000057,-4.239999771
3693311365,-2.880000114,-3.430000067
3693311430,-3.869999886,-3.579999924
